Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole;Note
MK;Indicateurs macro;351;Chine;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;8889.37841;Fc;Donnée calculée;
MK;Indicateurs macro;96;Chine - RAS de Hong-Kong;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;46705.027813;X;Sources internationales sûres;
MK;Indicateurs macro;128;Chine - RAS de Macao;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;81516.664768;X;Sources internationales sûres;
MK;Indicateurs macro;41;Chine, continentale;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;8663.125742;X;Sources internationales sûres;
MK;Indicateurs macro;50;Chypre;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;26483.877988;X;Sources internationales sûres;
MK;Indicateurs macro;44;Colombie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;6376.707362;X;Sources internationales sûres;
MK;Indicateurs macro;45;Comores;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;1323.811705;X;Sources internationales sûres;
MK;Indicateurs macro;46;Congo;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2154.629048;X;Sources internationales sûres;
MK;Indicateurs macro;48;Costa Rica;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;11814.626771;X;Sources internationales sûres;
MK;Indicateurs macro;107;Côte d'Ivoire;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2111.026809;X;Sources internationales sûres;
MK;Indicateurs macro;98;Croatie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;13225.258588;X;Sources internationales sûres;
MK;Indicateurs macro;49;Cuba;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;8541.21444;X;Sources internationales sûres;
MK;Indicateurs macro;279;Curaçao;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;19238.807571;X;Sources internationales sûres;
MK;Indicateurs macro;54;Danemark;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;57938.797728;X;Sources internationales sûres;
MK;Indicateurs macro;72;Djibouti;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2930.696963;X;Sources internationales sûres;
MK;Indicateurs macro;55;Dominique;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;7274.669503;X;Sources internationales sûres;
MK;Indicateurs macro;59;Égypte;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;2023.331158;X;Sources internationales sûres;
MK;Indicateurs macro;60;El Salvador;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3910.253179;X;Sources internationales sûres;
MK;Indicateurs macro;225;Émirats arabes unis;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;40644.804043;X;Sources internationales sûres;
MK;Indicateurs macro;58;Équateur;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;6213.501276;X;Sources internationales sûres;
MK;Indicateurs macro;178;Érythrée;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;557.874751;X;Sources internationales sûres;
MK;Indicateurs macro;203;Espagne;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;28137.441564;X;Sources internationales sûres;
MK;Indicateurs macro;63;Estonie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;20427.355694;X;Sources internationales sûres;
MK;Indicateurs macro;209;Eswatini;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;3952.911658;X;Sources internationales sûres;
MK;Indicateurs macro;231;États-Unis d'Amérique;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;60116.568493;X;Sources internationales sûres;
MK;Indicateurs macro;238;Éthiopie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;721.753494;X;Sources internationales sûres;
MK;Indicateurs macro;185;Fédération de Russie;6119;Valeur US $ par habitant;22008;Produit Intérieur Brut;2017;2017;US$;10840.230674;X;Sources internationales sûres;
