Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;8;Antigua-et-Barbuda;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;51.71;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2841;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;54.35;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;459;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;34.22;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;9;Argentine;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2242;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;9;Argentine;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;38.02;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;9;Argentine;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;1026;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;9;Argentine;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;67.66;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;1;Arménie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2270;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;1;Arménie;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;52.1;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;1;Arménie;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;802;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;1;Arménie;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;45.61;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;10;Australie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2360;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;10;Australie;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;34.84;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;10;Australie;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;1045;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;10;Australie;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;70.51;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;11;Autriche;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2524;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;11;Autriche;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;43.47;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;11;Autriche;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;1163;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;11;Autriche;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;63.95;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;52;Azerbaïdjan;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2580;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;52;Azerbaïdjan;674;Disponibilité de protéines en quantité (g/personne/jour);2903;Produits Vegetaux;2017;2017;g/personne/jour;60.04;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;52;Azerbaïdjan;664;Disponibilité alimentaire (Kcal/personne/jour);2941;Produits Animaux;2017;2017;Kcal/personne/jour;557;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;52;Azerbaïdjan;674;Disponibilité de protéines en quantité (g/personne/jour);2941;Produits Animaux;2017;2017;g/personne/jour;32.37;Fc;Donnée calculée
