Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;16;Bangladesh;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;257;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;14;Barbade;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;16;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;14;Barbade;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;13;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;463;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;264;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;255;Belgique;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;463;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;255;Belgique;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;128;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;23;Belize;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;20;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;23;Belize;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;10;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;53;Bénin;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;14;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;53;Bénin;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;124;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;506;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;506;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;61;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;63;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;20;Botswana;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;5;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;20;Botswana;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;7;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;21;Brésil;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;14168;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;21;Brésil;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;9902;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;107;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;5142;Nourriture;2734;Viande de Volailles;2017;2017;Milliers de tonnes;157;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;5511;Production;2734;Viande de Volailles;2017;2017;Milliers de tonnes;48;Im;Données de la FAO basées sur une méthodologie d'imputation
